algorytm,reprezentacja,rozmiar,gestosc,powtorzenie,czas(ms),koszt
BellmanFord,List,400,0.25,46,36.918,3532
Prim,Matrix,400,0.25,47,19.477,707
Prim,List,400,0.25,47,2.063,721
Kruskal,Matrix,400,0.25,47,1.35,707
Kruskal,List,400,0.25,47,1.799,721
Dijkstra,Matrix,400,0.25,47,32.015,5957
Dijkstra,List,400,0.25,47,2.048,8316
BellmanFord,Matrix,400,0.25,47,36.421,5957
BellmanFord,List,400,0.25,47,36.914,8316
Prim,Matrix,400,0.25,48,18.618,752
Prim,List,400,0.25,48,1.803,749
Kruskal,Matrix,400,0.25,48,1.453,752
Kruskal,List,400,0.25,48,1.848,749
Dijkstra,Matrix,400,0.25,48,30.857,2528
Dijkstra,List,400,0.25,48,1.422,2833
BellmanFord,Matrix,400,0.25,48,36.393,2528
BellmanFord,List,400,0.25,48,36.848,2833
Prim,Matrix,400,0.25,49,18.635,747
Prim,List,400,0.25,49,1.885,713
Kruskal,Matrix,400,0.25,49,1.266,747
Kruskal,List,400,0.25,49,1.76,713
Dijkstra,Matrix,400,0.25,49,30.867,3162
Dijkstra,List,400,0.25,49,1.484,4001
BellmanFord,Matrix,400,0.25,49,36.168,3162
BellmanFord,List,400,0.25,49,37.601,4001
Prim,Matrix,400,0.5,0,36.673,502
Prim,List,400,0.5,0,4.457,495
Kruskal,Matrix,400,0.5,0,2.608,502
Kruskal,List,400,0.5,0,3.949,495
Dijkstra,Matrix,400,0.5,0,62.37,1920
Dijkstra,List,400,0.5,0,4.818,1894
BellmanFord,Matrix,400,0.5,0,72.853,1920
BellmanFord,List,400,0.5,0,76.081,1894
Prim,Matrix,400,0.5,1,37.032,484
Prim,List,400,0.5,1,3.736,489
Kruskal,Matrix,400,0.5,1,2.531,484
Kruskal,List,400,0.5,1,4.123,489
Dijkstra,Matrix,400,0.5,1,62.108,3054
Dijkstra,List,400,0.5,1,4.5,3615
BellmanFord,Matrix,400,0.5,1,72.293,3054
BellmanFord,List,400,0.5,1,74.2,3615
Prim,Matrix,400,0.5,2,36.881,517
Prim,List,400,0.5,2,4.434,494
Kruskal,Matrix,400,0.5,2,2.64,517
Kruskal,List,400,0.5,2,3.906,494
Dijkstra,Matrix,400,0.5,2,63.285,3445
Dijkstra,List,400,0.5,2,4.747,4512
BellmanFord,Matrix,400,0.5,2,71.8,3445
BellmanFord,List,400,0.5,2,74.017,4512
Prim,Matrix,400,0.5,3,36.803,528
Prim,List,400,0.5,3,3.916,472
Kruskal,Matrix,400,0.5,3,2.58,528
Kruskal,List,400,0.5,3,4.029,472
Dijkstra,Matrix,400,0.5,3,61.83,2020
Dijkstra,List,400,0.5,3,4.372,2155
BellmanFord,Matrix,400,0.5,3,72.554,2020
BellmanFord,List,400,0.5,3,73.798,2155
Prim,Matrix,400,0.5,4,43.935,493
Prim,List,400,0.5,4,4.735,476
Kruskal,Matrix,400,0.5,4,2.596,493
Kruskal,List,400,0.5,4,4.15,476
Dijkstra,Matrix,400,0.5,4,62.171,2121
Dijkstra,List,400,0.5,4,4.764,2349
BellmanFord,Matrix,400,0.5,4,72.418,2121
BellmanFord,List,400,0.5,4,73.566,2349
Prim,Matrix,400,0.5,5,36.568,508
Prim,List,400,0.5,5,4.316,500
Kruskal,Matrix,400,0.5,5,2.612,508
Kruskal,List,400,0.5,5,3.924,500
Dijkstra,Matrix,400,0.5,5,61.727,2007
Dijkstra,List,400,0.5,5,4.128,2249
BellmanFord,Matrix,400,0.5,5,72.412,2007
BellmanFord,List,400,0.5,5,75.188,2249
Prim,Matrix,400,0.5,6,39.204,482
Prim,List,400,0.5,6,3.135,496
Kruskal,Matrix,400,0.5,6,2.606,482
Kruskal,List,400,0.5,6,4.268,496
Dijkstra,Matrix,400,0.5,6,63.329,2302
Dijkstra,List,400,0.5,6,5.134,4852
BellmanFord,Matrix,400,0.5,6,74.683,2302
BellmanFord,List,400,0.5,6,79.622,4852
Prim,Matrix,400,0.5,7,37.859,486
Prim,List,400,0.5,7,4.859,487
Kruskal,Matrix,400,0.5,7,2.581,486
Kruskal,List,400,0.5,7,3.886,487
Dijkstra,Matrix,400,0.5,7,61.894,2324
Dijkstra,List,400,0.5,7,3.766,2063
BellmanFord,Matrix,400,0.5,7,72.899,2324
BellmanFord,List,400,0.5,7,74.124,2063
Prim,Matrix,400,0.5,8,36.851,505
Prim,List,400,0.5,8,3.23,477
Kruskal,Matrix,400,0.5,8,2.6,505
Kruskal,List,400,0.5,8,3.807,477
Dijkstra,Matrix,400,0.5,8,62.175,2587
Dijkstra,List,400,0.5,8,3.696,4624
BellmanFord,Matrix,400,0.5,8,73.383,2587
BellmanFord,List,400,0.5,8,74.079,4624
Prim,Matrix,400,0.5,9,36.737,498
Prim,List,400,0.5,9,3.465,497
Kruskal,Matrix,400,0.5,9,2.627,498
Kruskal,List,400,0.5,9,3.853,497
Dijkstra,Matrix,400,0.5,9,62.148,2397
Dijkstra,List,400,0.5,9,4.832,2363
BellmanFord,Matrix,400,0.5,9,73.415,2397
BellmanFord,List,400,0.5,9,75.089,2363
Prim,Matrix,400,0.5,10,36.887,501
Prim,List,400,0.5,10,4.261,501
Kruskal,Matrix,400,0.5,10,2.705,501
Kruskal,List,400,0.5,10,4.056,501
Dijkstra,Matrix,400,0.5,10,61.741,5657
Dijkstra,List,400,0.5,10,3.779,2925
BellmanFord,Matrix,400,0.5,10,72.798,5657
BellmanFord,List,400,0.5,10,74.834,2925
Prim,Matrix,400,0.5,11,36.924,477
Prim,List,400,0.5,11,3.138,506
Kruskal,Matrix,400,0.5,11,2.536,477
Kruskal,List,400,0.5,11,3.848,506
Dijkstra,Matrix,400,0.5,11,61.886,1972
Dijkstra,List,400,0.5,11,3.548,2280
BellmanFord,Matrix,400,0.5,11,72.709,1972
BellmanFord,List,400,0.5,11,75.08,2280
Prim,Matrix,400,0.5,12,37.088,487
Prim,List,400,0.5,12,3.215,498
Kruskal,Matrix,400,0.5,12,2.659,487
Kruskal,List,400,0.5,12,3.918,498
Dijkstra,Matrix,400,0.5,12,63.012,2931
Dijkstra,List,400,0.5,12,3.986,3584
BellmanFord,Matrix,400,0.5,12,73.292,2931
BellmanFord,List,400,0.5,12,74.869,3584
Prim,Matrix,400,0.5,13,37.058,481
Prim,List,400,0.5,13,4.337,468
Kruskal,Matrix,400,0.5,13,2.615,481
Kruskal,List,400,0.5,13,4.017,468
Dijkstra,Matrix,400,0.5,13,61.842,4585
Dijkstra,List,400,0.5,13,4.523,4957
BellmanFord,Matrix,400,0.5,13,72.277,4585
BellmanFord,List,400,0.5,13,73.723,4957
Prim,Matrix,400,0.5,14,36.913,508
Prim,List,400,0.5,14,3.058,477
Kruskal,Matrix,400,0.5,14,2.551,508
Kruskal,List,400,0.5,14,3.908,477
Dijkstra,Matrix,400,0.5,14,61.779,2020
Dijkstra,List,400,0.5,14,4.358,2275
BellmanFord,Matrix,400,0.5,14,73.221,2020
BellmanFord,List,400,0.5,14,74.996,2275
Prim,Matrix,400,0.5,15,37.176,496
Prim,List,400,0.5,15,3.574,505
Kruskal,Matrix,400,0.5,15,2.575,496
Kruskal,List,400,0.5,15,3.99,505
Dijkstra,Matrix,400,0.5,15,62.385,3068
Dijkstra,List,400,0.5,15,4.958,4396
BellmanFord,Matrix,400,0.5,15,72.832,3068
BellmanFord,List,400,0.5,15,75.436,4396
Prim,Matrix,400,0.5,16,37.307,492
Prim,List,400,0.5,16,4.525,494
Kruskal,Matrix,400,0.5,16,2.555,492
Kruskal,List,400,0.5,16,3.925,494
Dijkstra,Matrix,400,0.5,16,62.411,3180
Dijkstra,List,400,0.5,16,4.838,4976
BellmanFord,Matrix,400,0.5,16,73.068,3180
BellmanFord,List,400,0.5,16,75.88,4976
Prim,Matrix,400,0.5,17,37.398,473
Prim,List,400,0.5,17,4.412,500
Kruskal,Matrix,400,0.5,17,2.68,473
Kruskal,List,400,0.5,17,3.964,500
Dijkstra,Matrix,400,0.5,17,64.194,1974
Dijkstra,List,400,0.5,17,3.964,1920
BellmanFord,Matrix,400,0.5,17,73.316,1974
BellmanFord,List,400,0.5,17,75.034,1920
Prim,Matrix,400,0.5,18,38.035,511
Prim,List,400,0.5,18,5.154,491
Kruskal,Matrix,400,0.5,18,2.511,511
Kruskal,List,400,0.5,18,4.235,491
Dijkstra,Matrix,400,0.5,18,63.201,1926
Dijkstra,List,400,0.5,18,4.858,1936
BellmanFord,Matrix,400,0.5,18,74.1,1926
BellmanFord,List,400,0.5,18,85.628,1936
Prim,Matrix,400,0.5,19,45.322,496
Prim,List,400,0.5,19,5.713,503
Kruskal,Matrix,400,0.5,19,2.819,496
Kruskal,List,400,0.5,19,5.008,503
Dijkstra,Matrix,400,0.5,19,66.725,2084
Dijkstra,List,400,0.5,19,9.676,3214
BellmanFord,Matrix,400,0.5,19,82.734,2084
BellmanFord,List,400,0.5,19,80.045,3214
Prim,Matrix,400,0.5,20,41.149,502
Prim,List,400,0.5,20,6.481,480
Kruskal,Matrix,400,0.5,20,2.626,502
Kruskal,List,400,0.5,20,4.792,480
Dijkstra,Matrix,400,0.5,20,65.263,2043
Dijkstra,List,400,0.5,20,5.219,2064
BellmanFord,Matrix,400,0.5,20,76.886,2043
BellmanFord,List,400,0.5,20,75.318,2064
Prim,Matrix,400,0.5,21,39.548,514
Prim,List,400,0.5,21,5.701,496
Kruskal,Matrix,400,0.5,21,2.877,514
Kruskal,List,400,0.5,21,4.948,496
Dijkstra,Matrix,400,0.5,21,66.288,2617
Dijkstra,List,400,0.5,21,4.9,2853
BellmanFord,Matrix,400,0.5,21,77.224,2617
BellmanFord,List,400,0.5,21,79.792,2853
